environment,setup1,setup2,test,metric,n1,n2,mean1,mean2,median1,median2,std1,std2,statistic,pvalue,significant,effect_size,interpretation
minatar-asterix,DWDI,DWSI,ttest,Overall Action Deviance,20,20,0.19461060000000002,0.20000340000000003,0.190994,0.193468,0.02291900764913378,0.024599989876762998,-0.7173076694417657,0.47757070131846713,False,-0.22683260185431398,small
minatar-asterix,DWDI,DWSI,mannwhitneyu,Overall Action Deviance,20,20,0.19461060000000002,0.20000340000000003,0.190994,0.193468,0.02291900764913378,0.024599989876762998,183.0,0.6553614390103917,False,0.08499999999999996,
minatar-asterix,DWDI,DWSI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.19461060000000002,0.20000340000000003,0.190994,0.193468,0.02291900764913378,0.024599989876762998,0.15,0.9831368772656193,False,,
minatar-asterix,DWDI,DWSI,welch_ttest,Overall Action Deviance,20,20,0.19461060000000002,0.20000340000000003,0.190994,0.193468,0.02291900764913378,0.024599989876762998,-0.7173076694417657,0.477592487668673,False,,
minatar-asterix,DWDI,SWDI,ttest,Overall Action Deviance,20,20,0.19461060000000002,0.218204,0.190994,0.21383000000000002,0.02291900764913378,0.021752843405185594,-3.339170902244917,0.0018913931622306865,True,-1.0559385547653393,large
minatar-asterix,DWDI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.19461060000000002,0.218204,0.190994,0.21383000000000002,0.02291900764913378,0.021752843405185594,84.5,0.0018651420186066414,True,0.5775,
minatar-asterix,DWDI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.19461060000000002,0.218204,0.190994,0.21383000000000002,0.02291900764913378,0.021752843405185594,0.45,0.0335416594061465,True,,
minatar-asterix,DWDI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.19461060000000002,0.218204,0.190994,0.21383000000000002,0.02291900764913378,0.021752843405185594,-3.3391709022449176,0.0018949363498439848,True,,
minatar-asterix,DWSI,SWDI,ttest,Overall Action Deviance,20,20,0.20000340000000003,0.218204,0.193468,0.21383000000000002,0.024599989876762998,0.021752843405185594,-2.4786870507078467,0.017741480313408924,True,-0.7838296687002071,medium
minatar-asterix,DWSI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.20000340000000003,0.218204,0.193468,0.21383000000000002,0.024599989876762998,0.021752843405185594,106.0,0.011432829308440093,True,0.47,
minatar-asterix,DWSI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.20000340000000003,0.218204,0.193468,0.21383000000000002,0.024599989876762998,0.021752843405185594,0.45,0.0335416594061465,True,,
minatar-asterix,DWSI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.20000340000000003,0.218204,0.193468,0.21383000000000002,0.024599989876762998,0.021752843405185594,-2.4786870507078467,0.01781325828172565,True,,
minatar-breakout,DWDI,DWSI,ttest,Overall Action Deviance,20,20,0.256861,0.2282126,0.248232,0.203872,0.04495924322035868,0.061050075657007305,1.6898189206159309,0.0992519635063137,False,0.5343676622393602,medium
minatar-breakout,DWDI,DWSI,mannwhitneyu,Overall Action Deviance,20,20,0.256861,0.2282126,0.248232,0.203872,0.04495924322035868,0.061050075657007305,293.0,0.012344745758617116,True,-0.4650000000000001,
minatar-breakout,DWDI,DWSI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.256861,0.2282126,0.248232,0.203872,0.04495924322035868,0.061050075657007305,0.5,0.012298612583953778,True,,
minatar-breakout,DWDI,DWSI,welch_ttest,Overall Action Deviance,20,20,0.256861,0.2282126,0.248232,0.203872,0.04495924322035868,0.061050075657007305,1.6898189206159309,0.09997151064499862,False,,
minatar-breakout,DWDI,SWDI,ttest,Overall Action Deviance,20,20,0.256861,0.25386599950000005,0.248232,0.236742,0.04495924322035868,0.050182677882627834,0.19879316264602098,0.8434843626949595,False,0.06286391772297313,negligible
minatar-breakout,DWDI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.256861,0.25386599950000005,0.248232,0.236742,0.04495924322035868,0.050182677882627834,204.0,0.9245727283322236,False,-0.020000000000000018,
minatar-breakout,DWDI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.256861,0.25386599950000005,0.248232,0.236742,0.04495924322035868,0.050182677882627834,0.15,0.9831368772656193,False,,
minatar-breakout,DWDI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.256861,0.25386599950000005,0.248232,0.236742,0.04495924322035868,0.050182677882627834,0.19879316264602098,0.8434970175836656,False,,
minatar-breakout,DWSI,SWDI,ttest,Overall Action Deviance,20,20,0.2282126,0.25386599950000005,0.203872,0.236742,0.061050075657007305,0.050182677882627834,-1.451708248336437,0.15478949458550015,False,-0.4590704562796484,small
minatar-breakout,DWSI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.2282126,0.25386599950000005,0.203872,0.236742,0.061050075657007305,0.050182677882627834,113.0,0.019292379706561613,True,0.43500000000000005,
minatar-breakout,DWSI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.2282126,0.25386599950000005,0.203872,0.236742,0.061050075657007305,0.050182677882627834,0.45,0.0335416594061465,True,,
minatar-breakout,DWSI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.2282126,0.25386599950000005,0.203872,0.236742,0.061050075657007305,0.050182677882627834,-1.451708248336437,0.15509500874957616,False,,
minatar-freeway,DWDI,DWSI,ttest,Overall Action Deviance,20,20,0.033448200000000004,0.034531199900000004,0.032936,0.033881998999999996,0.0034258766315699175,0.004783407931396565,-0.8231799764122052,0.41554196818358125,False,-0.260312364970625,small
minatar-freeway,DWDI,DWSI,mannwhitneyu,Overall Action Deviance,20,20,0.033448200000000004,0.034531199900000004,0.032936,0.033881998999999996,0.0034258766315699175,0.004783407931396565,174.0,0.49033426450951045,False,0.13,
minatar-freeway,DWDI,DWSI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.033448200000000004,0.034531199900000004,0.032936,0.033881998999999996,0.0034258766315699175,0.004783407931396565,0.3,0.33559098126008213,False,,
minatar-freeway,DWDI,DWSI,welch_ttest,Overall Action Deviance,20,20,0.033448200000000004,0.034531199900000004,0.032936,0.033881998999999996,0.0034258766315699175,0.004783407931396565,-0.8231799764122053,0.41607087031016976,False,,
minatar-freeway,DWDI,SWDI,ttest,Overall Action Deviance,20,20,0.033448200000000004,0.0369041999,0.032936,0.037658,0.0034258766315699175,0.0052250162885911,-2.4737062854998544,0.017955056209477883,True,-0.7822546124454294,medium
minatar-freeway,DWDI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.033448200000000004,0.0369041999,0.032936,0.037658,0.0034258766315699175,0.0052250162885911,123.0,0.03851496043112118,True,0.385,
minatar-freeway,DWDI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.033448200000000004,0.0369041999,0.032936,0.037658,0.0034258766315699175,0.0052250162885911,0.4,0.08105771161340149,False,,
minatar-freeway,DWDI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.033448200000000004,0.0369041999,0.032936,0.037658,0.0034258766315699175,0.0052250162885911,-2.473706285499855,0.018726074902235035,True,,
minatar-freeway,DWSI,SWDI,ttest,Overall Action Deviance,20,20,0.034531199900000004,0.0369041999,0.033881998999999996,0.037658,0.004783407931396565,0.0052250162885911,-1.4980961095653926,0.14237002365205165,False,-0.47373958600638016,small
minatar-freeway,DWSI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.034531199900000004,0.0369041999,0.033881998999999996,0.037658,0.004783407931396565,0.0052250162885911,142.0,0.11985556595924766,False,0.29000000000000004,
minatar-freeway,DWSI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.034531199900000004,0.0369041999,0.033881998999999996,0.037658,0.004783407931396565,0.0052250162885911,0.45,0.0335416594061465,True,,
minatar-freeway,DWSI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.034531199900000004,0.0369041999,0.033881998999999996,0.037658,0.004783407931396565,0.0052250162885911,-1.4980961095653929,0.1424337561553461,False,,
minatar-seaquest,DWDI,DWSI,ttest,Overall Action Deviance,20,20,0.1909892,0.2026596,0.1953,0.199168,0.025696102873884654,0.02678694519115019,-1.4060569124301792,0.16783202391198532,False,-0.44463423631032833,small
minatar-seaquest,DWDI,DWSI,mannwhitneyu,Overall Action Deviance,20,20,0.1909892,0.2026596,0.1953,0.199168,0.025696102873884654,0.02678694519115019,156.0,0.23932370336933684,False,0.21999999999999997,
minatar-seaquest,DWDI,DWSI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.1909892,0.2026596,0.1953,0.199168,0.025696102873884654,0.02678694519115019,0.25,0.571336004933722,False,,
minatar-seaquest,DWDI,DWSI,welch_ttest,Overall Action Deviance,20,20,0.1909892,0.2026596,0.1953,0.199168,0.025696102873884654,0.02678694519115019,-1.4060569124301796,0.16784596086637316,False,,
minatar-seaquest,DWDI,SWDI,ttest,Overall Action Deviance,20,20,0.1909892,0.1953564,0.1953,0.19202799999999998,0.025696102873884654,0.02453510762882231,-0.5497224344495968,0.5857264034510501,False,-0.17383749737533366,negligible
minatar-seaquest,DWDI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.1909892,0.1953564,0.1953,0.19202799999999998,0.025696102873884654,0.02453510762882231,185.0,0.6948910198677665,False,0.07499999999999996,
minatar-seaquest,DWDI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.1909892,0.1953564,0.1953,0.19202799999999998,0.025696102873884654,0.02453510762882231,0.2,0.8319696107963263,False,,
minatar-seaquest,DWDI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.1909892,0.1953564,0.1953,0.19202799999999998,0.025696102873884654,0.02453510762882231,-0.5497224344495969,0.5857332389499805,False,,
minatar-seaquest,DWSI,SWDI,ttest,Overall Action Deviance,20,20,0.2026596,0.1953564,0.199168,0.19202799999999998,0.02678694519115019,0.02453510762882231,0.8991280155039781,0.37424691734023163,False,0.2843292437059758,small
minatar-seaquest,DWSI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.2026596,0.1953564,0.199168,0.19202799999999998,0.02678694519115019,0.02453510762882231,229.0,0.44074988359834266,False,-0.14500000000000002,
minatar-seaquest,DWSI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.2026596,0.1953564,0.199168,0.19202799999999998,0.02678694519115019,0.02453510762882231,0.2,0.8319696107963263,False,,
minatar-seaquest,DWSI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.2026596,0.1953564,0.199168,0.19202799999999998,0.02678694519115019,0.02453510762882231,0.8991280155039781,0.37429008276330467,False,,
minatar-space_invaders,DWDI,DWSI,ttest,Overall Action Deviance,20,20,0.19231099999999998,0.1913729995,0.19154,0.183884,0.020044943433772965,0.02568656345958258,0.12874718911515726,0.8982367121675012,False,0.040713435994833534,negligible
minatar-space_invaders,DWDI,DWSI,mannwhitneyu,Overall Action Deviance,20,20,0.19231099999999998,0.1913729995,0.19154,0.183884,0.020044943433772965,0.02568656345958258,219.0,0.6167746941014318,False,-0.09499999999999997,
minatar-space_invaders,DWDI,DWSI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.19231099999999998,0.1913729995,0.19154,0.183884,0.020044943433772965,0.02568656345958258,0.25,0.571336004933722,False,,
minatar-space_invaders,DWDI,DWSI,welch_ttest,Overall Action Deviance,20,20,0.19231099999999998,0.1913729995,0.19154,0.183884,0.020044943433772965,0.02568656345958258,0.12874718911515728,0.8982766660995337,False,,
minatar-space_invaders,DWDI,SWDI,ttest,Overall Action Deviance,20,20,0.19231099999999998,0.1929774,0.19154,0.187432,0.020044943433772965,0.023937629598165047,-0.09545309788338992,0.9244565463068792,False,-0.030184919903050958,negligible
minatar-space_invaders,DWDI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.19231099999999998,0.1929774,0.19154,0.187432,0.020044943433772965,0.023937629598165047,199.0,0.9892089047911196,False,0.0050000000000000044,
minatar-space_invaders,DWDI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.19231099999999998,0.1929774,0.19154,0.187432,0.020044943433772965,0.023937629598165047,0.15,0.9831368772656193,False,,
minatar-space_invaders,DWDI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.19231099999999998,0.1929774,0.19154,0.187432,0.020044943433772965,0.023937629598165047,-0.09545309788338992,0.924471963112932,False,,
minatar-space_invaders,DWSI,SWDI,ttest,Overall Action Deviance,20,20,0.1913729995,0.1929774,0.183884,0.187432,0.02568656345958258,0.023937629598165047,-0.2043524144481134,0.839168688977881,False,-0.0646219075010739,negligible
minatar-space_invaders,DWSI,SWDI,mannwhitneyu,Overall Action Deviance,20,20,0.1913729995,0.1929774,0.183884,0.187432,0.02568656345958258,0.023937629598165047,185.0,0.6948910198677665,False,0.07499999999999996,
minatar-space_invaders,DWSI,SWDI,kolmogorov_smirnov,Overall Action Deviance,20,20,0.1913729995,0.1929774,0.183884,0.187432,0.02568656345958258,0.023937629598165047,0.2,0.8319696107963263,False,,
minatar-space_invaders,DWSI,SWDI,welch_ttest,Overall Action Deviance,20,20,0.1913729995,0.1929774,0.183884,0.187432,0.02568656345958258,0.023937629598165047,-0.2043524144481134,0.839174074391991,False,,
