mean,median,std,var,min,max,q25,q75,iqr,skewness,kurtosis,n,environment,training_setup,metric
0.19461060000000002,0.190994,0.02291900764913378,0.0005252809116210528,0.156268,0.232608,0.180543,0.204988,0.024444999999999995,0.24928482858492887,-0.8436068611025642,20,minatar-asterix,DWDI,Overall Action Deviance
0.20000340000000003,0.193468,0.024599989876762998,0.000605159501936842,0.16632,0.251028,0.181053,0.21526099999999998,0.03420799999999999,0.666306773765645,-0.70450189195543,20,minatar-asterix,DWSI,Overall Action Deviance
0.218204,0.21383000000000002,0.021752843405185594,0.0004731861962105264,0.18228,0.25984,0.201757,0.233986,0.03222900000000001,0.062306556173862715,-0.9690579340494572,20,minatar-asterix,SWDI,Overall Action Deviance
0.256861,0.248232,0.04495924322035868,0.0020213335509473677,0.19358,0.337512,0.223916,0.297945,0.07402900000000001,0.11069010959403493,-1.316272318318018,20,minatar-breakout,DWDI,Overall Action Deviance
0.2282126,0.203872,0.061050075657007305,0.0037271117377263158,0.174352,0.401188,0.19472499999999998,0.224727,0.03000200000000003,1.8581139040220969,2.1638678276413224,20,minatar-breakout,DWSI,Overall Action Deviance
0.25386599950000005,0.236742,0.050182677882627834,0.0025183011594715845,0.18812,0.343804,0.213463,0.297898,0.08443499999999998,0.5402024030157339,-1.0845677219488874,20,minatar-breakout,SWDI,Overall Action Deviance
0.033448200000000004,0.032936,0.0034258766315699175,1.1736630694736843e-05,0.027204,0.040092,0.031526,0.035453,0.003927,0.21205949100341406,-0.6474603698114842,20,minatar-freeway,DWDI,Overall Action Deviance
0.034531199900000004,0.033881998999999996,0.004783407931396565,2.2880991438147564e-05,0.02746,0.050072,0.033171,0.034928,0.0017570000000000016,1.7996182246009327,4.023039967272969,20,minatar-freeway,DWSI,Overall Action Deviance
0.0369041999,0.037658,0.0052250162885911,2.7300795216042307e-05,0.029968,0.049272,0.032451999999999995,0.038809,0.0063570000000000085,0.7136504653246932,-0.06078457838279849,20,minatar-freeway,SWDI,Overall Action Deviance
0.1909892,0.1953,0.025696102873884654,0.0006602897029052632,0.153296,0.246528,0.168909,0.211341,0.042432,0.15901609744281203,-0.7919745819497304,20,minatar-seaquest,DWDI,Overall Action Deviance
0.2026596,0.199168,0.02678694519115019,0.0007175404326736842,0.163856,0.248032,0.181055,0.218308,0.03725300000000001,0.36844042137974514,-1.0113355579241194,20,minatar-seaquest,DWSI,Overall Action Deviance
0.1953564,0.19202799999999998,0.02453510762882231,0.0006019715063578947,0.154252,0.246456,0.177359,0.210003,0.032644000000000006,0.5097781492312814,-0.5196072312393749,20,minatar-seaquest,SWDI,Overall Action Deviance
0.19231099999999998,0.19154,0.020044943433772965,0.0004017997572631579,0.1508,0.223824,0.181191,0.205312,0.024121000000000004,-0.16079691356582934,-0.6186202436001054,20,minatar-space_invaders,DWDI,Overall Action Deviance
0.1913729995,0.183884,0.02568656345958258,0.0006597995423631629,0.162252,0.244156,0.17154399999999997,0.20412,0.03257600000000002,0.8986612747650741,-0.555907363509411,20,minatar-space_invaders,DWSI,Overall Action Deviance
0.1929774,0.187432,0.023937629598165047,0.0005730101107789473,0.149032,0.235444,0.175183,0.209109,0.033925999999999984,0.280899753926295,-0.7983522742405169,20,minatar-space_invaders,SWDI,Overall Action Deviance
